"TRACT","ward","households","tract_total","allocation","tract_shortname"
"17031300900",12,1323,1323,1,"3009"
"17031301100",12,749,805,0.930434782608696,"3011"
"17031301100",24,56,805,0.0695652173913043,"3011"
"17031301200",12,913,1298,0.703389830508475,"3012"
"17031301200",24,385,1298,0.296610169491525,"3012"
"17031301600",22,1631,1631,1,"3016"
"17031301701",22,1062,1062,1,"3017.01"
"17031301702",22,1104,1104,1,"3017.02"
"17031301801",22,1113,1113,1,"3018.01"
"17031301802",22,876,876,1,"3018.02"
"17031301803",22,1367,1367,1,"3018.03"
"17031310200",11,640,662,0.966767371601209,"3102"
"17031310200",25,22,662,0.0332326283987915,"3102"
"17031310300",11,209,709,0.294781382228491,"3103"
"17031310300",25,500,709,0.705218617771509,"3103"
"17031310400",25,538,538,1,"3104"
"17031310500",25,521,521,1,"3105"
"17031310600",25,2105,2105,1,"3106"
"17031310700",25,687,687,1,"3107"
"17031310800",25,1547,1547,1,"3108"
"17031310900",25,1969,1969,1,"3109"
"17031320100",42,12621,12621,1,"3201"
"17031320400",4,15,4418,0.00339520144861928,"3204"
"17031320400",42,4403,4418,0.996604798551381,"3204"
"17031320600",4,4198,4575,0.917595628415301,"3206"
"17031320600",42,377,4575,0.0824043715846995,"3206"
"17031330100",3,12172,12173,0.999917850981681,"3301"
"17031330100",4,1,12173,8.21490183192311e-05,"3301"
"17031330200",3,1920,1922,0.998959417273673,"3302"
"17031330200",25,2,1922,0.00104058272632674,"3302"
"17031340300",11,683,683,1,"3403"
"17031340400",11,666,666,1,"3404"
"17031340500",11,845,845,1,"3405"
"17031340600",3,431,432,0.997685185185185,"3406"
"17031340600",11,1,432,0.00231481481481481,"3406"
"17031350100",4,1552,1552,1,"3501"
"17031350400",3,820,820,1,"3504"
"17031351000",4,2400,2400,1,"3510"
"17031351100",4,918,918,1,"3511"
"17031351400",3,863,863,1,"3514"
"17031351500",3,207,207,1,"3515"
"17031360200",4,688,688,1,"3602"
"17031380100",4,1049,1049,1,"3801"
"17031380200",3,1203,1203,1,"3802"
"17031380500",3,320,320,1,"3805"
"17031380700",3,680,680,1,"3807"
"17031381200",3,996,1067,0.933458294283037,"3812"
"17031381200",4,71,1067,0.0665417057169635,"3812"
"17031381400",3,699,699,1,"3814"
"17031381500",3,133,133,1,"3815"
"17031381800",3,579,579,1,"3818"
"17031381900",3,188,555,0.338738738738739,"3819"
"17031381900",4,367,555,0.661261261261261,"3819"
"17031390100",4,637,637,1,"3901"
"17031390200",4,870,870,1,"3902"
"17031390300",4,1612,1612,1,"3903"
"17031390400",4,1536,1536,1,"3904"
"17031390500",4,735,735,1,"3905"
"17031390600",4,854,854,1,"3906"
"17031390700",4,1612,3509,0.459390139640923,"3907"
"17031390700",5,1897,3509,0.540609860359077,"3907"
"17031400300",3,590,592,0.996621621621622,"4003"
"17031400300",20,2,592,0.00337837837837838,"4003"
"17031400400",3,7,744,0.00940860215053763,"4004"
"17031400400",20,737,744,0.990591397849462,"4004"
"17031400500",3,2,798,0.0025062656641604,"4005"
"17031400500",20,796,798,0.99749373433584,"4005"
